Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
110,Cesare Casadei,ITA,['MF'],Torino,21,2003,11.3,19,1.68,16,0,0,1,1,1,2,0.18,2,0,0,0,0,0,2024-2025
111,Nicolò Casale,ITA,['DF'],Bologna,26,1998,10.0,12,1.20,10,0,0,2,0,0,2,0.20,2,0,0,0,0,0,2024-2025
112,Nicolò Casale,ITA,['DF'],Lazio,26,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
113,Federico Cassa,ITA,"['MF', 'FW']",Atalanta,18,2006,0.2,1,6.43,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2024-2025
114,Valentín Castellanos,ARG,['FW'],Lazio,25,1998,26.5,73,2.76,37,1,5,23,5,2,14,0.53,7,0,1,3,2,1,2024-2025
115,Santiago Castro,ARG,['FW'],Bologna,19,2004,25.5,69,2.71,45,1,6,7,8,2,11,0.43,8,0,2,1,0,0,2024-2025
116,Gaetano Castrovilli,ITA,['MF'],Monza,27,1997,6.6,15,2.27,9,2,1,2,0,1,2,0.30,0,1,0,1,0,0,2024-2025
117,Gaetano Castrovilli,ITA,"['MF', 'FW']",Lazio,27,1997,1.6,3,1.84,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
118,Danilo Cataldi,ITA,['MF'],Fiorentina,29,1994,19.2,32,1.68,21,6,0,3,1,1,1,0.05,0,1,0,0,0,0,2024-2025
119,Zeki Çelik,TUR,['DF'],Roma,27,1997,25.1,38,1.51,35,1,1,1,0,0,4,0.16,4,0,0,0,0,0,2024-2025
120,Alberto Cerri,ITA,['FW'],Como,28,1996,1.0,1,1.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
121,Gabriel Charpentier,CGO,['FW'],Parma,25,1999,3.0,11,3.64,8,0,0,0,2,1,3,0.99,2,0,0,0,1,0,2024-2025
122,Walid Cheddira,MAR,['FW'],Napoli,26,1998,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
123,Leandro Chichizola,ARG,['GK'],Parma,34,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
124,Samuel Chukwueze,NGA,"['FW', 'MF']",Milan,25,1999,10.3,49,4.77,38,2,6,2,1,0,2,0.19,1,1,0,0,0,0,2024-2025
125,Aaron Ciammaglichella,ITA,['MF'],Torino,19,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
126,Giuseppe Ciocci,ITA,['GK'],Cagliari,22,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
127,Alessandro Circati,AUS,['DF'],Parma,20,2003,6.0,3,0.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
128,Alphadjo Cissè,ITA,"['FW', 'MF']",Hellas Verona,17,2006,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
129,Patrick Ciurria,ITA,"['MF', 'DF']",Monza,29,1995,12.3,26,2.11,20,5,0,1,0,0,2,0.16,1,0,0,1,0,0,2024-2025
130,Saúl Coco,EQG,['DF'],Torino,25,1999,31.6,16,0.51,12,0,0,3,1,0,1,0.03,0,0,0,0,1,0,2024-2025
131,Lorenzo Colombo,ITA,"['FW', 'MF']",Empoli,22,2002,24.8,55,2.21,33,0,5,8,8,1,3,0.12,1,0,1,1,0,0,2024-2025
132,Andrea Colpani,ITA,"['FW', 'MF']",Fiorentina,25,1999,16.1,43,2.70,34,4,0,4,1,0,5,0.31,3,0,0,2,0,0,2024-2025
133,Florinel Coman,ROU,"['FW', 'MF']",Cagliari,26,1998,2.9,4,1.37,3,0,0,0,1,0,1,0.34,1,0,0,0,0,0,2024-2025
134,Pietro Comuzzo,ITA,['DF'],Fiorentina,19,2005,24.4,20,0.82,17,0,0,1,0,2,1,0.04,1,0,0,0,0,0,2024-2025
135,Francisco Conceição,POR,"['FW', 'MF']",Juventus,21,2002,14.9,64,4.30,45,4,10,4,1,0,9,0.60,5,1,1,1,1,0,2024-2025
136,Diego Coppola,ITA,['DF'],Hellas Verona,20,2003,32.5,10,0.31,9,0,0,1,0,0,1,0.03,1,0,0,0,0,0,2024-2025
