Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
234,Sergi Guardiola,ESP,['FW'],Cádiz,31,1991,12.9,3,27,13,48.1,2.09,1.00,0.11,0.23,15.5,0,0,0,3.4,3.4,0.12,-0.4,-0.4,Matches,2022-2023
235,Nemanja Gudelj,SRB,"['DF', 'MF']",Sevilla,30,1991,30.9,3,38,9,23.7,1.23,0.29,0.08,0.33,25.8,3,0,0,1.7,1.7,0.05,+1.3,+1.3,Matches,2022-2023
236,Javier Guerra,ESP,['MF'],Valencia,19,2003,6.7,1,15,6,40.0,2.23,0.89,0.07,0.17,20.8,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,2022-2023
237,Ander Guevara,ESP,['MF'],Real Sociedad,25,1997,2.5,0,1,0,0.0,0.41,0.00,0.00,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,2022-2023
238,Pape Gueye,SEN,['MF'],Sevilla,23,1999,13.0,1,20,5,25.0,1.54,0.38,0.05,0.20,19.2,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,2022-2023
239,Hugo Guillamón,ESP,['MF'],Valencia,22,2000,18.1,1,3,1,33.3,0.17,0.06,0.00,0.00,22.7,0,1,1,1.1,0.3,0.10,-0.1,-0.3,Matches,2022-2023
240,Gerard Gumbau,ESP,['MF'],Elche,27,1994,30.4,1,47,18,38.3,1.55,0.59,0.02,0.06,25.5,6,0,0,2.3,2.3,0.05,-1.3,-1.3,Matches,2022-2023
241,Gorka Guruzeta,ESP,['FW'],Athletic Club,25,1996,15.8,6,51,17,33.3,3.23,1.08,0.12,0.35,12.7,2,0,0,6.1,6.1,0.12,-0.1,-0.1,Matches,2022-2023
242,Raúl Guti,ESP,['MF'],Elche,25,1996,12.4,0,20,8,40.0,1.61,0.64,0.00,0.00,18.9,0,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,2022-2023
243,Miguel Gutiérrez,ESP,['DF'],Girona,21,2001,26.6,2,17,4,23.5,0.64,0.15,0.12,0.50,19.4,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,2022-2023
244,Munir El Haddadi,MAR,"['MF', 'FW']",Getafe,26,1995,12.8,3,32,9,28.1,2.50,0.70,0.09,0.33,18.1,2,0,0,2.7,2.7,0.09,+0.3,+0.3,Matches,2022-2023
245,Dennis Hadzikadunic,BIH,['DF'],Mallorca,24,1998,6.8,0,5,1,20.0,0.73,0.15,0.00,0.00,15.2,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,2022-2023
246,Haissem Hassan,FRA,"['FW', 'MF']",Villarreal,20,2002,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2022-2023
247,Eden Hazard,BEL,['FW'],Real Madrid,31,1991,2.2,0,2,0,0.0,0.92,0.00,0.00,,21.6,0,0,1,1.0,0.2,0.09,-1.0,-0.2,Matches,2022-2023
