Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
272,Jakub Jankto,CZE,"['MF', 'FW']",Cagliari,27,1996,9.7,1,12,5,41.7,1.24,0.52,0.08,0.20,13.4,0,0,0,1.5,1.5,0.12,-0.5,-0.5,2023-2024
273,Juan Jesus,BRA,['DF'],Napoli,32,1991,23.5,1,8,2,25.0,0.34,0.09,0.13,0.50,8.9,0,0,0,1.3,1.3,0.16,-0.3,-0.3,2023-2024
274,Álex Jiménez,ESP,['DF'],Milan,18,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
275,Kaio Jorge,BRA,['FW'],Frosinone,21,2002,9.0,3,25,12,48.0,2.77,1.33,0.08,0.17,14.9,1,1,2,5.4,3.8,0.16,-2.4,-1.8,2023-2024
276,Luka Jović,SRB,['FW'],Milan,25,1997,9.7,6,22,12,54.5,2.26,1.23,0.27,0.50,11.3,0,0,0,4.9,4.9,0.23,+1.1,+1.1,2023-2024
277,Hamed Junior Traorè,CIV,['MF'],Napoli,23,2000,4.2,0,10,3,30.0,2.36,0.71,0.00,0.00,22.6,0,0,0,0.9,0.9,0.09,-0.9,-0.9,2023-2024
278,Mohamed Kaba,FRA,['MF'],Lecce,21,2001,15.3,0,14,6,42.9,0.91,0.39,0.00,0.00,18.4,0,0,0,1.2,1.2,0.08,-1.2,-1.2,2023-2024
279,Christian Kabasele,BEL,['DF'],Udinese,32,1991,9.6,1,7,2,28.6,0.73,0.21,0.14,0.50,9.0,0,0,0,1.2,1.2,0.17,-0.2,-0.2,2023-2024
280,Yayah Kallon,SLE,['FW'],Hellas Verona,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
281,Pierre Kalulu,FRA,['DF'],Milan,23,2000,4.2,0,2,0,0.0,0.48,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2023-2024
282,Daichi Kamada,JPN,['MF'],Lazio,26,1996,17.2,2,29,8,27.6,1.69,0.47,0.07,0.25,20.7,0,0,0,1.8,1.8,0.06,+0.2,+0.2,2023-2024
283,Hassane Kamara,CIV,['DF'],Udinese,29,1994,24.7,1,26,8,30.8,1.05,0.32,0.04,0.13,20.9,0,0,0,1.9,1.9,0.07,-0.9,-0.9,2023-2024
284,Yann Karamoh,FRA,"['MF', 'FW']",Torino,25,1998,1.8,0,2,1,50.0,1.11,0.56,0.00,0.00,14.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2023-2024
285,Jesper Karlsson,SWE,['FW'],Bologna,25,1998,3.8,0,6,4,66.7,1.57,1.05,0.00,0.00,26.8,1,0,0,0.4,0.4,0.07,-0.4,-0.4,2023-2024
286,Rick Karsdorp,NED,['DF'],Roma,28,1995,13.2,0,8,1,12.5,0.60,0.08,0.00,0.00,16.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,2023-2024
287,Grigoris Kastanos,CYP,"['MF', 'DF']",Salernitana,25,1998,16.4,3,30,10,33.3,1.82,0.61,0.10,0.30,20.6,1,0,0,2.9,2.9,0.10,+0.1,+0.1,2023-2024
288,Michael Kayode,ITA,['DF'],Fiorentina,19,2004,22.9,1,7,2,28.6,0.31,0.09,0.14,0.50,20.3,0,0,0,0.5,0.5,0.07,+0.5,+0.5,2023-2024
289,Moise Kean,ITA,['FW'],Juventus,23,2000,7.3,0,16,3,18.8,2.20,0.41,0.00,0.00,15.4,0,0,0,2.1,2.1,0.13,-2.1,-2.1,2023-2024
290,Simon Kjær,DEN,['DF'],Milan,34,1989,13.0,0,6,0,0.0,0.46,0.00,0.00,,11.0,0,0,0,0.5,0.5,0.08,-0.5,-0.5,2023-2024
291,Davy Klaassen,NED,['MF'],Inter,30,1993,2.3,0,1,0,0.0,0.44,0.00,0.00,,20.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,2023-2024
292,Sead Kolašinac,BIH,['DF'],Atalanta,30,1993,24.2,1,13,5,38.5,0.54,0.21,0.08,0.20,12.3,0,0,0,1.3,1.3,0.10,-0.3,-0.3,2023-2024
293,Teun Koopmeiners,NED,['MF'],Atalanta,25,1998,29.2,12,52,16,30.8,1.78,0.55,0.19,0.63,18.2,2,2,2,6.5,5.0,0.10,+5.5,+5.0,2023-2024
294,Filip Kostić,SRB,['DF'],Juventus,30,1992,20.2,0,21,2,9.5,1.04,0.10,0.00,0.00,22.1,0,0,0,0.7,0.7,0.03,-0.7,-0.7,2023-2024
295,Christian Kouamé,CIV,['FW'],Fiorentina,25,1997,12.1,2,24,7,29.2,1.98,0.58,0.08,0.29,17.0,0,0,0,1.9,1.9,0.08,+0.1,+0.1,2023-2024
296,Viktor Kovalenko,UKR,['MF'],Empoli,27,1996,6.8,1,11,4,36.4,1.62,0.59,0.09,0.25,13.9,0,0,0,0.9,0.9,0.08,+0.1,+0.1,2023-2024
297,Rasmus Kristensen,DEN,['DF'],Roma,26,1997,19.4,1,9,2,22.2,0.46,0.10,0.11,0.50,12.0,0,0,0,0.5,0.5,0.06,+0.5,+0.5,2023-2024
298,Thomas Kristensen,DEN,['DF'],Udinese,21,2002,23.3,0,10,3,30.0,0.43,0.13,0.00,0.00,11.2,0,0,0,1.1,1.1,0.11,-1.1,-1.1,2023-2024
299,Nikola Krstović,MNE,['FW'],Lecce,23,2000,26.4,7,89,20,22.5,3.38,0.76,0.07,0.30,15.9,2,1,3,11.6,9.2,0.10,-4.6,-3.2,2023-2024
300,Rade Krunić,BIH,['MF'],Milan,29,1993,7.6,0,2,0,0.0,0.26,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,2023-2024
301,Marash Kumbulla,ALB,['DF'],Sassuolo,23,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
302,Justin Kumi,ITA,['FW'],Sassuolo,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2023-2024
303,Berkan Kutlu,TUR,['MF'],Genoa,25,1998,2.2,0,4,1,25.0,1.81,0.45,0.00,0.00,16.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,2023-2024
304,Khvicha Kvaratskhelia,GEO,['FW'],Napoli,22,2001,30.4,11,128,45,35.2,4.21,1.48,0.09,0.24,18.8,4,0,0,11.1,11.1,0.09,-0.1,-0.1,2023-2024
