Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
578,José Luis García Vayá,ESP,['MF'],Valencia,25,1998,19.4,54,2.79,29,22,1,1,1,0,3,0.15,3,0,0,0,0,0,2024-2025
579,Jesus Vazquez,ESP,['DF'],Valencia,21,2003,10.2,9,0.88,6,0,1,1,0,1,1,0.10,1,0,0,0,0,0,2024-2025
580,Lucas Vázquez,ESP,['DF'],Real Madrid,33,1991,24.3,65,2.67,54,5,1,2,2,1,8,0.33,8,0,0,0,0,0,2024-2025
581,Alejo Véliz,ARG,['FW'],Espanyol,20,2003,12.5,14,1.10,7,0,0,2,5,0,4,0.31,2,0,0,0,2,0,2024-2025
582,Mikel Vesga,ESP,['MF'],Athletic Club,31,1993,11.0,21,1.91,19,0,0,2,0,0,1,0.09,0,0,0,1,0,0,2024-2025
583,Carlos Vicente,ESP,"['FW', 'MF']",Alavés,25,1999,34.4,107,3.11,53,38,3,6,5,2,9,0.26,6,1,1,1,0,0,2024-2025
584,Pau Victor,ESP,['FW'],Barcelona,22,2001,3.5,13,3.64,11,0,1,0,1,0,2,0.56,1,0,0,0,1,0,2024-2025
585,Nacho Vidal,ESP,['DF'],Osasuna,29,1995,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
586,Fran Vieites,ESP,['GK'],Betis,25,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
587,Sergio Viera,ESP,['MF'],Las Palmas,19,2005,1.1,2,1.87,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
588,Asier Villalibre,ESP,['FW'],Alavés,26,1997,3.7,7,1.89,4,0,0,1,2,0,1,0.27,1,0,0,0,0,0,2024-2025
589,Iván Villar,ESP,['GK'],Celta Vigo,27,1997,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
590,Viti,ESP,['DF'],Las Palmas,26,1997,22.0,29,1.32,23,3,2,0,1,0,3,0.14,3,0,0,0,0,0,2024-2025
591,Daniel Vivian,ESP,['DF'],Athletic Club,25,1999,29.0,34,1.17,32,0,1,0,0,1,1,0.03,1,0,0,0,0,0,2024-2025
592,Iñaki Williams,GHA,['FW'],Athletic Club,30,1994,29.5,80,2.72,61,1,6,7,3,2,14,0.48,10,0,3,1,0,0,2024-2025
593,Nico Williams,ESP,['FW'],Athletic Club,22,2002,22.2,112,5.05,67,13,21,3,5,3,13,0.59,9,2,1,0,1,0,2024-2025
594,Axel Witsel,BEL,['DF'],Atlético Madrid,35,1989,9.5,4,0.42,2,0,1,0,1,0,2,0.21,1,0,1,0,0,0,2024-2025
595,Lamine Yamal,ESP,['FW'],Barcelona,17,2007,31.7,188,5.92,112,3,38,20,11,4,29,0.91,20,0,5,2,2,0,2024-2025
596,Daniel Yáñez,ESP,['FW'],Real Madrid,17,2007,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2024-2025
597,Bertuğ Yıldırım,TUR,['FW'],Getafe,22,2002,12.0,21,1.75,13,0,1,2,4,1,1,0.08,0,0,0,0,1,0,2024-2025
598,Arsen Zakharyan,RUS,"['MF', 'FW']",Real Sociedad,21,2003,0.8,6,7.40,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0,2024-2025
599,Bryan Zaragoza,ESP,"['FW', 'MF']",Osasuna,22,2001,20.4,71,3.49,41,11,13,1,5,0,9,0.44,6,1,1,1,0,0,2024-2025
600,Igor Zubeldia,ESP,['DF'],Real Sociedad,27,1997,25.2,17,0.67,16,0,0,1,0,0,1,0.04,1,0,0,0,0,0,2024-2025
601,Martín Zubimendi,ESP,['MF'],Real Sociedad,25,1999,32.9,46,1.40,38,0,4,1,1,2,6,0.18,5,0,0,0,1,0,2024-2025
