player_name,player_age,player_nationality,player_position,market_value,from_club,to_club,transfer_fee,transfer_season
Loïs Openda,23,"['Belgium', 'Morocco']",CF,€35.00m,RC Lens,RB Leipzig,€40.00m,23/24
Seko Fofana,28,"[""Cote d'Ivoire"", 'France']",CM,€32.00m,RC Lens,Al-Nassr FC,€25.00m,23/24
Jean Onana,23,['Cameroon'],DM,€6.00m,RC Lens,Besiktas JK,€4.04m,23/24
Wuilker Fariñez,25,"['Venezuela', 'Colombia']",GK,€3.00m,RC Lens,Caracas FC,free transfer,23/24
Adrien Louveau,23,['France'],DM,€100k,RC Lens,LKS Lodz,free transfer,23/24
Ismaël Boura,22,"['Comoros', 'France']",LB,€1.00m,RC Lens,ESTAC Troyes,free transfer,23/24
Steven Fortes,31,"['Cape Verde', 'France']",CB,€400k,RC Lens,Quevilly - Rouen Métropole,free transfer,23/24
Tom Ducrocq,23,['France'],DM,€1.20m,RC Lens,SC Bastia,?,23/24
Renan Lodi,25,"['Brazil', 'Italy']",LB,€20.00m,Atlético de Madrid,Olympique Marseille,€20.60m,23/24
Iliman Ndiaye,23,"['Senegal', 'France']",RW,€18.00m,Sheffield United,Olympique Marseille,€17.00m,23/24
Ismaïla Sarr,25,['Senegal'],RW,€20.00m,Watford FC,Olympique Marseille,€13.00m,23/24
Ruslan Malinovskyi,30,['Ukraine'],AM,€15.00m,Atalanta BC,Olympique Marseille,€10.00m,23/24
Quentin Merlin,21,['France'],LB,€10.00m,FC Nantes,Olympique Marseille,€10.00m,23/24
Geoffrey Kondogbia,30,"['Central African Republic', 'France']",DM,€14.00m,Atlético de Madrid,Olympique Marseille,€8.00m,23/24
Faris Moumbagna,23,['Cameroon'],CF,€7.00m,FK Bodø/Glimt,Olympique Marseille,€8.00m,23/24
Amine Harit,26,"['Morocco', 'France']",AM,€12.00m,FC Schalke 04,Olympique Marseille,€5.00m,23/24
Ulisses Garcia,28,"['Switzerland', 'Cape Verde']",LB,€3.00m,BSC Young Boys,Olympique Marseille,€4.00m,23/24
