Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,aerials_Won,aerials_Lost,aerials_Won%,Season
154,Keinan Davis,ENG,"['FW', 'MF']",Udinese,25,1998,2.1,2,0,0,5,3,3,0,0,0,0,0,0,5,9,5,64.3,2023-2024
155,Paweł Dawidowicz,POL,['DF'],Hellas Verona,28,1995,23.8,5,0,0,33,9,0,2,24,30,0,0,1,139,67,30,69.1,2023-2024
156,Charles De Ketelaere,BEL,"['FW', 'MF']",Atalanta,22,2001,22.5,1,0,0,17,47,6,47,7,21,0,0,1,93,38,35,52.1,2023-2024
157,Mattia De Sciglio,ITA,['DF'],Juventus,30,1992,0.5,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,,2023-2024
158,Lorenzo De Silvestri,ITA,['DF'],Bologna,35,1988,7.5,0,0,0,3,6,0,9,6,8,0,0,0,21,9,5,64.3,2023-2024
159,Koni De Winter,BEL,['DF'],Genoa,21,2002,26.4,8,1,1,37,11,0,5,21,25,0,1,0,120,58,38,60.4,2023-2024
160,Grégoire Defrel,MTQ,"['FW', 'MF']",Sassuolo,32,1991,8.4,0,0,0,9,8,1,2,3,8,0,0,0,30,6,21,22.2,2023-2024
161,Alessandro Deiola,ITA,['MF'],Cagliari,27,1995,17.9,7,0,0,25,17,0,15,9,19,0,0,1,87,35,30,53.8,2023-2024
162,Alessandro Dellavalle,ITA,['DF'],Torino,19,2004,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,100.0,2023-2024
163,Diego Demme,GER,['MF'],Napoli,31,1991,0.8,1,0,0,1,2,0,3,0,1,0,0,0,8,1,0,100.0,2023-2024
164,Leander Dendoncker,BEL,['MF'],Napoli,28,1995,0.3,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,100.0,2023-2024
165,Mattia Destro,ITA,"['FW', 'MF']",Empoli,32,1991,4.1,2,0,0,6,7,4,0,2,1,0,0,0,9,13,17,43.3,2023-2024
166,Federico Di Francesco,ITA,"['FW', 'MF']",Lecce,29,1994,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,2023-2024
167,Raffaele Di Gennaro,ITA,['GK'],Inter,29,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2023-2024
168,Michele Di Gregorio,ITA,['GK'],Monza,26,1997,31.9,0,0,0,0,4,0,0,1,0,0,0,0,33,6,1,85.7,2023-2024
169,Giovanni Di Lorenzo,ITA,['DF'],Napoli,29,1993,35.9,6,0,0,28,37,5,126,24,36,0,0,0,141,27,39,40.9,2023-2024
170,Alessandro Di Pardo,ITA,"['DF', 'MF']",Cagliari,24,1999,4.0,0,0,0,3,2,1,18,5,1,0,2,0,26,4,2,66.7,2023-2024
171,Boulaye Dia,SEN,"['FW', 'MF']",Salernitana,26,1996,12.7,1,0,0,11,24,3,1,3,2,0,0,0,41,6,27,18.2,2023-2024
172,Federico Dimarco,ITA,['DF'],Inter,25,1997,23.1,0,0,0,12,21,5,196,9,25,0,0,0,99,6,9,40.0,2023-2024
173,Tiago Djaló,POR,['DF'],Juventus,23,2000,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,2023-2024
