Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,challenges_Tkl,challenges_Att,challenges_Tkl%,challenges_Lost,Blocks,blocked_Sh,blocked_Pass,Int,Tkl+Int,Clr,Err,Season
173,Zouhair Feddal,MAR,['DF'],Valladolid,33,1989,4.2,4,2,1,3,0,3,4,75.0,1,9,9,0,5,9,27,0,2022-2023
174,Nabil Fekir,FRA,['MF'],Betis,29,1993,10.7,11,5,3,3,5,2,9,22.2,7,6,2,4,1,12,0,0,2022-2023
175,Felipe,BRA,['DF'],Atlético Madrid,33,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0,2022-2023
176,Luiz Felipe,ITA,['DF'],Betis,25,1997,19.6,34,23,23,11,0,18,34,52.9,16,43,24,19,28,62,106,0,2022-2023
177,João Félix,POR,"['FW', 'MF']",Atlético Madrid,22,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,2022-2023
178,Kiko Femenía,ESP,['DF'],Villarreal,31,1991,12.6,18,9,14,3,1,13,18,72.2,5,15,6,9,20,38,22,0,2022-2023
179,Aitor Fernández,ESP,['GK'],Osasuna,31,1991,21.0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,17,0,2022-2023
180,Álex Fernández,ESP,"['MF', 'FW']",Cádiz,29,1992,17.5,13,7,6,4,3,4,14,28.6,10,14,1,13,8,21,19,0,2022-2023
181,Álvaro Fernández,ESP,['GK'],Espanyol,24,1998,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,2,2022-2023
182,Carlos Fernández,ESP,['FW'],Real Sociedad,26,1996,7.0,6,4,1,3,2,1,15,6.7,14,1,0,1,1,7,4,0,2022-2023
183,Federico Fernández,ARG,['DF'],Elche,33,1989,1.0,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,12,0,2022-2023
184,Joaquín Fernández,ESP,['DF'],Valladolid,26,1996,24.0,35,28,20,11,4,19,30,63.3,11,31,22,9,27,62,98,1,2022-2023
