Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Season
Alphonse Areola,FRA,['GK'],West Ham,31,1993,26,25,"2,260",25.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2024-2025
Joe Aribo,NGA,"['MF', 'DF']",Southampton,28,1996,32,21,"2,013",22.4,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,36,75,65,2024-2025
Adam Armstrong,ENG,"['FW', 'MF']",Southampton,27,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,2024-2025
Harrison Armstrong,ENG,['MF'],Everton,17,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,2024-2025
Kepa Arrizabalaga,ESP,['GK'],Bournemouth,29,1994,31,31,"2,790",31.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,2024-2025
Marco Asensio,ESP,['MF'],Aston Villa,28,1996,13,9,743,8.3,3,1,4,3,0,2,2,0,4.4,2.9,1.0,3.8,22,45,38,2024-2025
Brandon Austin,ENG,['GK'],Tottenham,25,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2024-2025
Taiwo Awoniyi,NGA,['FW'],Nott'ham Forest,26,1997,26,3,416,4.6,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,2024-2025
Yasin Ayari,SWE,['MF'],Brighton,20,2003,34,22,"1,965",21.8,2,1,3,2,0,0,3,0,2.4,2.4,2.3,4.8,30,75,61,2024-2025
Jordan Ayew,GHA,"['FW', 'MF']",Crystal Palace,32,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,2024-2025
Jordan Ayew,GHA,"['FW', 'MF']",Leicester City,32,1991,30,19,"1,638",18.2,5,0,5,4,1,1,5,0,3.2,2.4,1.1,3.5,49,46,86,2024-2025
Benoît Badiashile,FRA,['DF'],Chelsea,23,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,2024-2025
