Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Season
Keane Lewis-Potter,ENG,"['FW', 'DF']",Brentford,22,2001,30,15,"1,441",16.0,3,1,4,3,0,0,0,0,6.3,6.3,1.7,8.0,2023-2024
Victor Lindelöf,SWE,['DF'],Manchester Utd,29,1994,19,14,"1,328",14.8,1,1,2,1,0,0,2,0,0.8,0.8,0.3,1.1,2023-2024
Valentino Livramento,ENG,['DF'],Newcastle Utd,20,2002,26,12,"1,314",14.6,1,0,1,1,0,0,1,0,0.4,0.4,0.8,1.2,2023-2024
Giovani Lo Celso,ARG,['MF'],Tottenham,27,1996,22,4,506,5.6,2,2,4,2,0,0,2,0,0.6,0.6,1.9,2.5,2023-2024
Tom Lockyer,WAL,['DF'],Luton Town,28,1994,14,14,"1,169",13.0,1,1,2,1,0,0,4,0,1.1,1.1,0.6,1.7,2023-2024
Sean Longstaff,ENG,['MF'],Newcastle Utd,25,1997,35,30,"2,747",30.5,6,2,8,6,0,0,7,0,6.6,6.6,2.3,8.8,2023-2024
Max Lowe,ENG,"['DF', 'MF']",Sheffield Utd,26,1997,10,4,503,5.6,0,0,0,0,0,0,1,0,0.6,0.6,0.7,1.3,2023-2024
Douglas Luiz,BRA,['MF'],Aston Villa,25,1998,35,35,"2,993",33.3,9,5,14,5,4,4,12,0,6.9,3.8,5.4,9.2,2023-2024
Saša Lukić,SRB,['MF'],Fulham,26,1996,24,13,"1,122",12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,2023-2024
Ian Maatsen,NED,"['FW', 'MF']",Chelsea,21,2002,12,1,209,2.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,2023-2024
Alexis Mac Allister,ARG,['MF'],Liverpool,24,1998,33,31,"2,599",28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,2023-2024
James Maddison,ENG,['MF'],Tottenham,26,1996,28,26,"2,135",23.7,4,9,13,4,0,0,5,0,6.4,6.4,5.9,12.4,2023-2024
Noni Madueke,ENG,['FW'],Chelsea,21,2002,23,13,"1,053",11.7,5,2,7,4,1,1,2,0,2.5,1.7,2.6,4.3,2023-2024
Gabriel Magalhães,BRA,['DF'],Arsenal,25,1997,36,34,"3,044",33.8,4,0,4,4,0,0,4,0,4.3,4.3,0.7,5.0,2023-2024
Harry Maguire,ENG,['DF'],Manchester Utd,30,1993,22,18,"1,653",18.4,2,2,4,2,0,0,4,0,2.0,2.0,1.2,3.3,2023-2024
Kobbie Mainoo,ENG,['MF'],Manchester Utd,18,2005,24,24,"1,924",21.4,3,1,4,3,0,0,3,0,0.9,0.9,0.7,1.6,2023-2024
Orel Mangala,BEL,['MF'],Nott'ham Forest,25,1998,20,19,"1,563",17.4,1,0,1,1,0,0,6,0,0.8,0.8,0.2,1.1,2023-2024
Benson Manuel,ANG,"['MF', 'FW']",Burnley,26,1997,8,1,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2023-2024
Solly March,ENG,"['FW', 'DF']",Brighton,29,1994,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,2023-2024
Anthony Martial,FRA,['FW'],Manchester Utd,27,1995,13,5,448,5.0,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,2023-2024
Gabriel Martinelli,BRA,['FW'],Arsenal,22,2001,35,24,"2,019",22.4,6,4,10,6,0,0,1,0,6.8,6.8,6.1,12.9,2023-2024
Emiliano Martínez,ARG,['GK'],Aston Villa,30,1992,34,34,"3,015",33.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,2023-2024
Lisandro Martínez,ARG,['DF'],Manchester Utd,25,1998,11,8,646,7.2,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,2023-2024
Han-Noah Massengo,FRA,"['MF', 'DF']",Burnley,22,2001,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Pape Matar Sarr,SEN,['MF'],Tottenham,20,2002,34,27,"2,069",23.0,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,2023-2024
Jean-Philippe Mateta,FRA,['FW'],Crystal Palace,26,1997,35,25,"2,282",25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,2023-2024
Joël Matip,CMR,['DF'],Liverpool,31,1991,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,2023-2024
Alex Matos,ENG,['MF'],Chelsea,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Remi Matthews,ENG,['GK'],Crystal Palace,29,1994,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-2024
Neal Maupay,FRA,['FW'],Brentford,26,1996,29,13,"1,321",14.7,6,3,9,6,0,0,8,0,5.7,5.7,2.3,8.1,2023-2024
Neal Maupay,FRA,['FW'],Everton,26,1996,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,2023-2024
