Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Season
530,Bertuğ Yıldırım,TUR,['FW'],Rennes,21,2002,5.2,0,10,4,40.0,1.92,0.77,0.00,0.00,11.9,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches,2023-2024
531,Darlin Yongwa,CMR,['DF'],Lorient,22,2000,12.9,1,15,5,33.3,1.16,0.39,0.07,0.20,20.6,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches,2023-2024
532,Leny Yoro,FRA,['DF'],Lille,17,2005,29.7,2,14,8,57.1,0.47,0.27,0.14,0.25,9.6,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches,2023-2024
533,Etienne Youte Kinkoue,FRA,['DF'],Le Havre,21,2002,21.6,0,6,0,0.0,0.28,0.00,0.00,,11.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,2023-2024
534,Yoram Zague,FRA,['DF'],Paris S-G,17,2006,4.1,1,2,1,50.0,0.48,0.24,0.50,1.00,19.3,0,0,0,0.3,0.3,0.15,+0.7,+0.7,Matches,2023-2024
535,Warren Zaïre-Emery,FRA,"['MF', 'DF']",Paris S-G,17,2006,21.8,2,14,4,28.6,0.64,0.18,0.14,0.50,17.9,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches,2023-2024
536,Denis Zakaria,SUI,"['MF', 'DF']",Monaco,26,1996,23.7,4,26,10,38.5,1.09,0.42,0.15,0.40,21.6,0,0,0,1.4,1.4,0.05,+2.6,+2.6,Matches,2023-2024
537,Mehdi Zeffane,ALG,"['DF', 'MF']",Clermont Foot,31,1992,13.7,0,19,1,5.3,1.39,0.07,0.00,0.00,19.3,1,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches,2023-2024
538,Nathan Zeze,FRA,['DF'],Nantes,18,2005,11.4,0,3,0,0.0,0.26,0.00,0.00,,16.9,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,2023-2024
539,Edon Zhegrova,KVX,['FW'],Lille,24,1999,25.4,6,82,29,35.4,3.23,1.14,0.07,0.21,20.3,8,0,0,6.2,6.2,0.08,-0.2,-0.2,Matches,2023-2024
540,Luck Zogbé,CIV,['DF'],Brest,18,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2023-2024
