Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,CK_In,CK_Out,CK_Str,Cmp,Off,Blocks,Season
429,Guillaume Restes,FRA,['GK'],Toulouse,18,2005,34.0,897,604,291,97,0,0,0,1,0,0,0,0,666,2,2,2023-2024
430,Alexsandro Ribeiro,BRA,['DF'],Lille,23,1999,24.7,1804,1706,96,65,3,12,2,6,0,0,0,0,1615,2,9,2023-2024
431,Amir Richardson,MAR,['MF'],Reims,21,2002,15.0,651,635,14,8,3,3,13,5,0,0,0,0,534,2,11,2023-2024
432,Fabian Rieder,SUI,['MF'],Rennes,21,2002,4.1,212,196,14,9,0,3,9,1,4,3,0,0,169,2,4,2023-2024
433,Rémy Riou,FRA,['GK'],Lyon,35,1987,3.0,104,69,35,12,0,0,0,0,0,0,0,0,80,0,0,2023-2024
434,Valentin Rongier,FRA,['MF'],Marseille,28,1994,9.5,577,557,19,17,8,7,3,2,0,0,0,0,504,1,6,2023-2024
435,Pablo Rosario,DOM,"['MF', 'DF']",Nice,26,1997,22.3,1187,1103,81,32,5,0,6,49,0,0,0,0,1056,3,15,2023-2024
436,Valentin Rosier,FRA,"['DF', 'MF']",Nice,26,1996,0.6,33,27,6,1,0,0,0,5,0,0,0,0,28,0,0,2023-2024
437,Fabián Ruiz Peña,ESP,['MF'],Paris S-G,27,1996,13.3,872,843,29,21,0,4,11,1,2,2,0,0,778,0,12,2023-2024
438,Emmanuel Sabbi,USA,"['FW', 'MF']",Le Havre,25,1997,17.6,368,353,12,5,2,1,20,5,1,1,0,0,258,3,24,2023-2024
439,Falaye Sacko,MLI,['DF'],Montpellier,28,1995,15.4,784,636,148,10,0,2,27,138,0,0,0,0,605,0,20,2023-2024
440,Modibo Sagnan,MLI,['DF'],Montpellier,24,1999,11.7,517,500,15,10,0,5,1,2,0,0,0,0,442,2,6,2023-2024
441,Moïse Sahi Dion,CIV,"['MF', 'FW']",Strasbourg,21,2001,7.0,175,165,9,0,0,0,5,3,0,0,0,0,137,1,2,2023-2024
442,Wesley Saïd,FRA,"['FW', 'MF']",Lens,28,1995,11.3,268,239,27,1,2,1,15,5,0,0,0,0,193,2,3,2023-2024
443,Théo Sainte-Luce,FRA,['DF'],Montpellier,24,1998,3.8,172,134,36,4,0,0,7,32,0,0,0,0,136,2,4,2023-2024
444,Mamadou Sakho,FRA,['DF'],Montpellier,33,1990,0.1,16,15,1,1,0,0,0,0,0,0,0,0,15,0,0,2023-2024
445,Ibrahim Salah,MAR,"['FW', 'MF']",Rennes,21,2001,5.8,232,230,2,0,1,1,20,0,2,0,1,0,177,0,6,2023-2024
446,Amine Salama,FRA,['FW'],Reims,23,2000,3.5,73,70,3,0,0,0,5,1,0,0,0,0,48,0,4,2023-2024
447,Mohammed Salisu,GHA,['DF'],Monaco,24,1999,11.5,778,751,27,19,0,0,1,7,0,0,0,0,657,0,9,2023-2024
448,Yoann Salmier,GUF,['DF'],Le Havre,30,1992,17.4,767,679,86,25,1,2,9,59,0,0,0,0,612,2,9,2023-2024
449,Mama Samba Baldé,GNB,"['FW', 'MF']",Lyon,27,1995,6.1,135,132,3,0,2,1,5,0,0,0,0,0,88,0,7,2023-2024
450,Brice Samba,FRA,['GK'],Lens,29,1994,33.0,1122,864,254,84,1,2,0,0,0,0,0,0,880,4,1,2023-2024
451,Ibou Sané,SEN,"['MF', 'FW']",Metz,18,2005,1.4,46,40,6,0,0,0,4,3,1,0,1,0,37,0,2,2023-2024
452,Sadibou Sané,SEN,['DF'],Metz,19,2004,9.4,317,290,27,4,0,1,8,23,0,0,0,0,254,0,3,2023-2024
453,Arouna Sangante,SEN,['DF'],Le Havre,21,2002,29.9,1521,1315,202,61,0,13,15,139,0,0,0,0,1233,4,29,2023-2024
454,Morgan Sanson,FRA,['MF'],Nice,28,1994,21.8,836,735,94,27,4,4,114,3,64,20,35,0,630,7,24,2023-2024
455,Baptiste Santamaria,FRA,['MF'],Rennes,28,1995,21.4,1207,1175,30,30,2,10,0,0,0,0,0,0,1055,2,14,2023-2024
456,Andrey Santos,BRA,['MF'],Strasbourg,19,2004,9.2,511,488,22,10,2,1,3,0,0,0,0,0,444,1,8,2023-2024
457,Tiago Santos,POR,['DF'],Lille,21,2002,26.3,1396,1129,266,58,1,9,83,208,0,0,0,0,1113,1,30,2023-2024
458,Amin Sarr,SWE,"['FW', 'MF']",Lyon,22,2001,1.1,20,18,2,0,0,0,1,0,0,0,0,0,13,0,1,2023-2024
459,Ismaila Sarr,SEN,"['FW', 'MF']",Marseille,25,1998,16.1,483,476,6,0,0,3,38,4,0,0,0,0,366,1,14,2023-2024
460,Mamadou Sarr,SEN,['DF'],Lyon,17,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2023-2024
461,Martin Satriano,URU,['FW'],Brest,22,2001,20.7,456,447,8,2,1,10,11,6,0,0,0,0,325,1,11,2023-2024
462,Téji Savanier,FRA,['MF'],Montpellier,31,1991,30.7,1888,1549,322,137,10,47,231,13,125,32,83,0,1306,17,31,2023-2024
463,Niklas Schmidt,GER,['MF'],Toulouse,25,1998,14.1,840,777,56,25,3,11,50,7,18,6,9,0,679,7,14,2023-2024
