Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Sh,GCA_Fld,GCA_Def,Season
274,Senne Lynen,BEL,['MF'],Werder Bremen,24,1999,20.0,27,1.35,25,0,0,0,0,2,5,0.25,5,0,0,0,0,0,2023-2024
275,Ian Maatsen,NED,['DF'],Dortmund,21,2002,14.0,27,1.92,26,0,0,0,0,1,5,0.36,4,0,0,0,0,1,2023-2024
276,Matej Maglica,CRO,['DF'],Darmstadt 98,24,1998,18.9,21,1.11,18,1,0,1,0,1,0,0.00,0,0,0,0,0,0,2023-2024
277,Arne Maier,GER,['MF'],Augsburg,24,1999,11.1,66,5.92,37,19,2,6,2,0,6,0.54,3,1,0,2,0,0,2023-2024
278,Linton Maina,GER,"['FW', 'MF']",Köln,24,1999,21.1,58,2.75,44,1,3,3,6,1,5,0.24,4,0,0,0,1,0,2023-2024
279,Patrick Mainka,GER,['DF'],Heidenheim,28,1994,34.0,26,0.76,16,0,0,8,0,2,1,0.03,1,0,0,0,0,0,2023-2024
280,Lovro Majer,CRO,"['MF', 'FW']",Wolfsburg,25,1998,23.4,84,3.59,64,10,2,4,4,0,11,0.47,8,0,1,1,1,0,2023-2024
281,Jordy Makengo,FRA,['DF'],Freiburg,21,2001,11.4,17,1.49,16,1,0,0,0,0,1,0.09,1,0,0,0,0,0,2023-2024
282,Julián Malatini,ARG,['DF'],Werder Bremen,22,2001,6.7,6,0.90,5,0,1,0,0,0,1,0.15,0,0,1,0,0,0,2023-2024
283,Donyell Malen,NED,"['FW', 'MF']",Dortmund,24,1999,19.8,74,3.74,49,0,7,13,4,1,14,0.71,6,0,2,3,2,1,2023-2024
284,Lennard Maloney,USA,['MF'],Heidenheim,23,1999,25.4,20,0.79,16,0,0,3,0,1,2,0.08,2,0,0,0,0,0,2023-2024
285,David Mamutovic,GER,"['FW', 'DF']",Mainz 05,22,2000,0.1,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2023-2024
286,Braydon Manu,GHA,['MF'],Darmstadt 98,26,1997,1.9,7,3.68,5,0,2,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
287,Omar Marmoush,EGY,"['FW', 'MF']",Eint Frankfurt,24,1999,25.6,75,2.93,40,5,10,6,12,2,12,0.47,5,1,2,2,2,0,2023-2024
288,Eric Martel,GER,['MF'],Köln,21,2002,27.3,43,1.58,34,1,0,4,4,0,3,0.11,1,0,0,1,1,0,2023-2024
289,Erhan Mašović,SRB,"['DF', 'MF']",Bochum,24,1998,24.7,17,0.69,12,0,0,4,1,0,1,0.04,1,0,0,0,0,0,2023-2024
290,Roberto Massimo,GER,"['FW', 'DF']",Stuttgart,22,2000,0.9,1,1.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
291,Jean Mattéo Bahoya,FRA,"['MF', 'FW']",Eint Frankfurt,18,2005,2.0,6,3.03,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,2023-2024
292,Philipp Max,GER,['DF'],Eint Frankfurt,29,1993,15.0,34,2.27,24,6,2,2,0,0,4,0.27,3,0,0,1,0,0,2023-2024
293,Eric Maxim Choupo-Moting,CMR,"['MF', 'FW']",Bayern Munich,34,1989,8.0,34,4.26,26,0,2,5,1,0,5,0.63,3,0,0,2,0,0,2023-2024
294,Noussair Mazraoui,MAR,['DF'],Bayern Munich,25,1997,13.3,36,2.71,30,1,2,1,0,2,7,0.53,7,0,0,0,0,0,2023-2024
295,Kevin Mbabu,SUI,['DF'],Augsburg,28,1995,22.7,57,2.51,44,7,4,0,2,0,4,0.18,3,1,0,0,0,0,2023-2024
296,Noah Mbamba,BEL,['MF'],Leverkusen,18,2005,0.2,1,5.63,1,0,0,0,0,0,1,5.63,1,0,0,0,0,0,2023-2024
297,Nathanael Mbuku,COD,['FW'],Augsburg,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2023-2024
298,Marvin Mehlem,GER,['MF'],Darmstadt 98,25,1997,16.5,51,3.11,39,1,1,2,7,1,4,0.24,4,0,0,0,0,0,2023-2024
299,Thomas Meunier,BEL,['DF'],Dortmund,31,1991,6.5,11,1.69,8,1,1,1,0,0,0,0.00,0,0,0,0,0,0,2023-2024
